Magnetic Field X [µT],Magnetic Field Y [µT],Magnetic Field Z [µT],Sample time [seg]
-76.48701,-107.22201,-180.84901,2025-02-16 16:30:36.800
-76.481,-106.282005,-183.76501,2025-02-16 16:30:36.807
-76.281006,-107.20801,-181.86601,2025-02-16 16:30:36.817
-75.937004,-107.698006,-180.671,2025-02-16 16:30:36.824
-75.299,-106.15,-181.18102,2025-02-16 16:30:36.831
-74.731,-106.52601,-182.266,2025-02-16 16:30:36.840
-74.649,-107.79201,-182.07,2025-02-16 16:30:36.847
-74.824005,-107.48601,-181.41301,2025-02-16 16:30:36.855
-75.038,-107.725006,-182.09901,2025-02-16 16:30:36.863
-73.832,-107.61201,-183.17201,2025-02-16 16:30:36.872
-73.331,-107.565,-183.48601,2025-02-16 16:30:36.880
-73.29401,-107.018005,-181.68701,2025-02-16 16:30:36.888
-73.338005,-106.383,-181.38501,2025-02-16 16:30:36.896
-74.23,-107.538,-182.05801,2025-02-16 16:30:36.904
-73.775,-107.797005,-179.61201,2025-02-16 16:30:36.924
-73.828,-107.270004,-179.41801,2025-02-16 16:30:36.925
-72.87601,-106.76401,-181.675,2025-02-16 16:30:36.935
-72.39101,-106.93301,-182.32,2025-02-16 16:30:36.936
-72.484,-106.83301,-181.87502,2025-02-16 16:30:36.944
-71.645004,-106.212006,-180.71501,2025-02-16 16:30:36.951
-72.244,-106.271,-180.74901,2025-02-16 16:30:36.959
-72.069,-106.692,-182.772,2025-02-16 16:30:36.968
-71.443,-106.424,-183.891,2025-02-16 16:30:36.977
-71.605,-105.899,-182.33202,2025-02-16 16:30:36.984
-71.259,-106.507,-182.96,2025-02-16 16:30:36.991
-71.633,-107.397,-183.38701,2025-02-16 16:30:37.002
-71.194,-105.753006,-182.54301,2025-02-16 16:30:37.008
-70.499,-104.73701,-183.93301,2025-02-16 16:30:37.016
-71.582,-105.91801,-185.761,2025-02-16 16:30:37.024
-71.827,-106.36201,-184.835,2025-02-16 16:30:37.032
-71.235,-106.296005,-183.65701,2025-02-16 16:30:37.040
-71.288,-105.768005,-183.46301,2025-02-16 16:30:37.050
-71.427,-106.20701,-183.44601,2025-02-16 16:30:37.056
-71.568,-106.759,-184.451,2025-02-16 16:30:37.064
-71.464005,-106.63701,-183.65102,2025-02-16 16:30:37.074
-71.12601,-107.239006,-183.136,2025-02-16 16:30:37.080
-71.920006,-107.32201,-183.86801,2025-02-16 16:30:37.087
-72.455,-106.62701,-183.37201,2025-02-16 16:30:37.095
-72.018005,-107.218,-182.73701,2025-02-16 16:30:37.104
-71.645004,-107.50201,-183.039,2025-02-16 16:30:37.114
-71.278,-106.72201,-183.06201,2025-02-16 16:30:37.120
-70.436005,-106.218,-183.725,2025-02-16 16:30:37.128
-70.869,-106.69,-184.41101,2025-02-16 16:30:37.137
-71.925,-106.258,-183.703,2025-02-16 16:30:37.144
-71.147,-105.216,-182.34401,2025-02-16 16:30:37.152
-70.519005,-105.895004,-181.80602,2025-02-16 16:30:37.160
-70.51501,-105.899,-182.49101,2025-02-16 16:30:37.169
-70.757,-106.46001,-183.38802,2025-02-16 16:30:37.179
-70.685005,-107.83301,-183.072,2025-02-16 16:30:37.183
-69.880005,-107.643005,-182.46,2025-02-16 16:30:37.191
-70.50201,-106.969,-183.91301,2025-02-16 16:30:37.202
-70.388,-105.796005,-185.005,2025-02-16 16:30:37.208
-70.009,-105.97,-184.856,2025-02-16 16:30:37.217
-70.136,-107.24801,-183.186,2025-02-16 16:30:37.224
-69.227005,-106.937004,-181.77501,2025-02-16 16:30:37.232
-69.475006,-105.37301,-182.8,2025-02-16 16:30:37.239
-69.79301,-104.55801,-183.44101,2025-02-16 16:30:37.248
-69.713005,-104.87701,-184.789,2025-02-16 16:30:37.256
-69.528,-105.076004,-185.451,2025-02-16 16:30:37.263
-68.767006,-105.427,-185.61002,2025-02-16 16:30:37.272
-69.089005,-105.66801,-185.15901,2025-02-16 16:30:37.279
-68.563,-105.295006,-184.69,2025-02-16 16:30:37.287
-67.228004,-104.73601,-184.41,2025-02-16 16:30:37.297
-67.57201,-105.189,-183.48901,2025-02-16 16:30:37.306
-67.41,-105.715004,-185.04901,2025-02-16 16:30:37.314
-66.582,-105.314,-185.02,2025-02-16 16:30:37.320
-66.44,-104.76301,-184.12901,2025-02-16 16:30:37.328
-66.047005,-103.773,-185.078,2025-02-16 16:30:37.336
-65.664,-103.951004,-185.501,2025-02-16 16:30:37.344
-65.26601,-104.97,-184.72801,2025-02-16 16:30:37.352
-65.701004,-105.326004,-183.81902,2025-02-16 16:30:37.360
-66.555,-104.991005,-184.809,2025-02-16 16:30:37.369
-65.756004,-103.852005,-185.28401,2025-02-16 16:30:37.376
-65.384,-104.135,-185.47202,2025-02-16 16:30:37.387
-66.531006,-104.78001,-185.50601,2025-02-16 16:30:37.392
-65.674,-105.118004,-184.97401,2025-02-16 16:30:37.402
-64.665,-103.852005,-185.557,2025-02-16 16:30:37.408
-65.475006,-102.978004,-185.89001,2025-02-16 16:30:37.417
-65.618004,-104.588005,-186.14601,2025-02-16 16:30:37.423
-64.404,-105.427,-186.475,2025-02-16 16:30:37.432
-65.013,-105.594,-186.50401,2025-02-16 16:30:37.440
-65.522,-104.575005,-185.56801,2025-02-16 16:30:37.448
-64.600006,-103.09901,-185.141,2025-02-16 16:30:37.456
-65.494,-104.253006,-185.47202,2025-02-16 16:30:37.464
-66.44,-104.76301,-184.12901,2025-02-16 16:30:37.472
-66.72,-104.69401,-185.75201,2025-02-16 16:30:37.479
-67.079,-105.481,-186.871,2025-02-16 16:30:37.488
-67.619,-104.66701,-184.21,2025-02-16 16:30:37.495
-66.941,-103.75101,-184.451,2025-02-16 16:30:37.504
-66.880005,-104.170006,-184.42201,2025-02-16 16:30:37.512
-68.428,-105.913,-183.729,2025-02-16 16:30:37.519
-69.186005,-105.68101,-185.62201,2025-02-16 16:30:37.526
-68.478004,-105.503006,-185.358,2025-02-16 16:30:37.536
-69.281006,-105.463005,-183.354,2025-02-16 16:30:37.544
-70.346,-106.199005,-182.23401,2025-02-16 16:30:37.554
-71.039,-107.33401,-182.667,2025-02-16 16:30:37.560
-72.454,-106.628006,-183.48601,2025-02-16 16:30:37.569
-72.978004,-105.828,-183.339,2025-02-16 16:30:37.576
-73.465004,-106.716,-181.716,2025-02-16 16:30:37.584
-74.036,-107.629005,-182.61201,2025-02-16 16:30:37.592
-75.246,-106.79301,-182.854,2025-02-16 16:30:37.600
-77.122,-107.713005,-181.31801,2025-02-16 16:30:37.609
-77.021,-107.81901,-183.02,2025-02-16 16:30:37.616
-76.992004,-107.497,-182.92401,2025-02-16 16:30:37.624
-78.79301,-108.732,-182.04901,2025-02-16 16:30:37.632
-80.441,-109.425,-181.77,2025-02-16 16:30:37.640
-79.874,-108.62501,-181.78201,2025-02-16 16:30:37.648
-80.755005,-107.438,-182.13802,2025-02-16 16:30:37.656
-82.854004,-107.52801,-180.43701,2025-02-16 16:30:37.663
-82.687004,-106.768005,-180.47202,2025-02-16 16:30:37.671
-83.41901,-107.15501,-179.92401,2025-02-16 16:30:37.680
-83.166,-107.548004,-178.626,2025-02-16 16:30:37.687
-83.009,-107.009,-179.90701,2025-02-16 16:30:37.696
-84.29301,-108.21001,-181.746,2025-02-16 16:30:37.704
-85.671005,-108.134,-181.839,2025-02-16 16:30:37.712
-86.328,-107.546005,-179.51501,2025-02-16 16:30:37.719
-85.438,-107.566,-179.68501,2025-02-16 16:30:37.728
-85.559006,-107.788,-179.337,2025-02-16 16:30:37.736
-86.244,-107.63801,-178.589,2025-02-16 16:30:37.744
-86.72401,-107.47301,-178.62901,2025-02-16 16:30:37.752
-87.781006,-107.156006,-179.17401,2025-02-16 16:30:37.759
-88.468,-106.059006,-179.97,2025-02-16 16:30:37.767
-88.567,-106.07001,-180.20401,2025-02-16 16:30:37.776
-89.409004,-106.69,-181.02101,2025-02-16 16:30:37.785
-89.983,-107.59901,-181.34601,2025-02-16 16:30:37.793
-89.51601,-107.869,-180.843,2025-02-16 16:30:37.800
-89.157005,-107.19701,-181.089,2025-02-16 16:30:37.807
-89.64101,-107.02801,-180.44402,2025-02-16 16:30:37.815
-90.656006,-107.229004,-179.58202,2025-02-16 16:30:37.824
-90.788,-106.61301,-181.00002,2025-02-16 16:30:37.832
-91.64001,-106.16501,-180.85301,2025-02-16 16:30:37.840
-92.15401,-106.317,-180.076,2025-02-16 16:30:37.850
-91.51,-105.83401,-180.979,2025-02-16 16:30:37.855
-91.00001,-105.678,-181.07,2025-02-16 16:30:37.863
-92.745,-106.268005,-179.88802,2025-02-16 16:30:37.872
-93.949005,-106.497,-180.63701,2025-02-16 16:30:37.880
-93.082,-106.843,-181.59001,2025-02-16 16:30:37.888
-92.563,-106.464005,-180.20702,2025-02-16 16:30:37.896
-92.327,-106.01301,-179.76201,2025-02-16 16:30:37.904
-92.630005,-106.15501,-180.688,2025-02-16 16:30:37.912
-92.619,-106.049,-180.92201,2025-02-16 16:30:37.920
-93.62401,-106.258,-181.43102,2025-02-16 16:30:37.928
-94.275,-105.79101,-181.501,2025-02-16 16:30:37.936
-92.881004,-104.588005,-181.25601,2025-02-16 16:30:37.944
-92.65,-105.309006,-181.197,2025-02-16 16:30:37.952
-93.40401,-106.025,-181.66,2025-02-16 16:30:37.959
-94.901,-106.288,-183.227,2025-02-16 16:30:37.968
-95.399,-106.22401,-182.00401,2025-02-16 16:30:37.976
-93.955,-106.607,-181.08801,2025-02-16 16:30:37.985
-93.536,-106.468,-182.557,2025-02-16 16:30:37.993
-94.837006,-105.534004,-182.69601,2025-02-16 16:30:38.000
-96.008,-105.33,-182.55501,2025-02-16 16:30:38.007
-95.465004,-104.741005,-181.869,2025-02-16 16:30:38.016
-95.068,-104.58401,-180.02301,2025-02-16 16:30:38.025
-95.382,-104.717,-179.34901,2025-02-16 16:30:38.031
-95.48701,-104.953,-181.40001,2025-02-16 16:30:38.040
-94.685005,-104.87601,-181.811,2025-02-16 16:30:38.049
-96.020004,-105.32001,-180.72601,2025-02-16 16:30:38.070
-97.356,-104.81901,-181.52802,2025-02-16 16:30:38.071
-97.27701,-105.022,-181.28201,2025-02-16 16:30:38.072
-96.755005,-105.82101,-181.20001,2025-02-16 16:30:38.081
-95.955,-104.68301,-181.904,2025-02-16 16:30:38.088
-96.408005,-104.19401,-181.505,2025-02-16 16:30:38.095
-96.616005,-104.32201,-181.73901,2025-02-16 16:30:38.103
-96.816,-104.342,-181.751,2025-02-16 16:30:38.112
-96.091,-103.83301,-179.79102,2025-02-16 16:30:38.120
-95.25001,-103.327,-180.225,2025-02-16 16:30:38.129
-95.803,-104.024,-181.01901,2025-02-16 16:30:38.136
-96.520004,-104.19301,-179.682,2025-02-16 16:30:38.144
-97.49901,-105.254005,-180.82501,2025-02-16 16:30:38.152
-96.789,-105.19301,-182.384,2025-02-16 16:30:38.160
-96.62401,-104.315,-180.59601,2025-02-16 16:30:38.168
-96.884,-103.91701,-180.751,2025-02-16 16:30:38.176
-96.577,-104.009,-183.35701,2025-02-16 16:30:38.184
-97.70901,-104.435005,-182.60301,2025-02-16 16:30:38.192
-97.94601,-103.71001,-181.86101,2025-02-16 16:30:38.199
-97.519005,-103.34701,-181.62701,2025-02-16 16:30:38.208
-97.188,-104.05801,-181.563,2025-02-16 16:30:38.216
-97.646,-103.68101,-181.95801,2025-02-16 16:30:38.224
-98.007,-103.29101,-182.005,2025-02-16 16:30:38.233
-97.66801,-103.893005,-181.604,2025-02-16 16:30:38.239
-97.605,-104.199005,-180.43701,2025-02-16 16:30:38.247
-98.06901,-103.93101,-181.39801,2025-02-16 16:30:38.256
-98.232,-103.636,-182.57,2025-02-16 16:30:38.264
-98.64101,-103.783005,-182.587,2025-02-16 16:30:38.273
-99.11101,-103.51,-182.634,2025-02-16 16:30:38.280
-99.589005,-103.232,-181.53801,2025-02-16 16:30:38.288
-99.450005,-102.677,-180.07501,2025-02-16 16:30:38.295
-98.503006,-102.052,-180.052,2025-02-16 16:30:38.305
-98.25101,-102.559006,-180.12001,2025-02-16 16:30:38.314
-97.867004,-102.73801,-180.77101,2025-02-16 16:30:38.320
-98.413,-102.26501,-181.52101,2025-02-16 16:30:38.328
-99.866005,-103.049,-182.024,2025-02-16 16:30:38.337
-100.630005,-103.872,-182.481,2025-02-16 16:30:38.344
-100.576004,-103.225006,-181.83,2025-02-16 16:30:38.352
-100.969,-102.094,-181.923,2025-02-16 16:30:38.360
-101.851006,-101.967,-181.64401,2025-02-16 16:30:38.368
-101.407005,-102.678,-183.40302,2025-02-16 16:30:38.377
-101.336006,-103.106,-184.85901,2025-02-16 16:30:38.385
-101.420006,-102.783005,-182.94,2025-02-16 16:30:38.391
